stop_code,stop_name,lat,lon,lines
NY,Penn Station New York,40.750048,-73.992358,MNBTN|MNE|MNEG|NEC|NJCL|RARV
PN,Pennsauken,39.97777,-75.06179,ACRL
PE,Perth Amboy,40.509398,-74.273752,NJCL
PH,Philadelphia 30th St.,39.956565,-75.182327,ACRL
PF,Plainfield,40.618425,-74.420163,RARV
PL,Plauderville,40.884916,-74.102695,BERG
PP,Point Pleasant,40.092718,-74.048191,NJCL
PO,Port Jervis,41.374899,-74.694622,BERG|MAIN
PJ,Princeton Junction,40.316316,-74.623753,NEC|PRIN
PR,Princeton Station,40.342088,-74.65887,PRIN
FZ,Radburn,40.938889,-74.121992,BERG
RH,Rahway,40.606338,-74.276692,NEC|NJCL
RY,Ramsey,41.056422,-74.141877,BERG|MAIN
RA,Raritan,40.571007,-74.634364,RARV
RB,Red Bank,40.348284,-74.074538,NJCL
RW,Ridgewood,40.980629,-74.120592,BERG|MAIN
RG,River Edge,40.935146,-74.02914,PASC
RL,Roselle Park,40.667152,-74.26632,RARV
17,Route 17 Station,41.07513,-74.145485,BERG|MAIN
23,Route 23,40.900799,-74.256603,MNBTN
RF,Rutherford,40.828248,-74.100563,BERG
CW,Salisbury Mills,41.437073,-74.101871,BERG|MAIN
TS,Secaucus Junction,40.761188,-74.075821,BERG|MAIN|MRL|PASC
SE,Secaucus Station,40.761188,-74.075821,MNBTN|MNE|MNEG|NEC|NJCL|RARV
RT,Short Hills,40.725249,-74.323754,MNE|MNEG
XG,Sloatsburg,41.157138,-74.191307,BERG|MAIN
SM,Somerville,40.566075,-74.61397,RARV
CH,South Amboy,40.484308,-74.28014,NJCL
SO,South Orange,40.744538,-74.261564,MNE|MNEG
LA,Spring Lake,40.150557,-74.035481,NJCL
SV,Spring Valley,41.111978,-74.043991,PASC
SG,Stirling,40.674581,-74.493723,MNEG
SF,Suffern,41.11354,-74.153442,BERG|MAIN
ST,Summit,40.716549,-74.357807,MNE|MNEG
TE,Teterboro,40.864858,-74.062676,PASC
TO,Towaco,40.922809,-74.343842,MNBTN
TR,Trenton Station,40.218515,-74.753926,NEC
TC,Tuxedo,41.194208,-74.18446,BERG|MAIN
US,Union Station,40.683663,-74.238605,RARV
UM,Upper Montclair,40.842004,-74.209368,MNBTN
WK,Waldwick,41.012734,-74.123412,BERG|MAIN
WA,Walnut Street (Montclair),40.817218,-74.20963,MNBTN
WS,Washington,38.897095,-77.006332,
WG,Watchung Avenue,40.829516,-74.206934,MNBTN
WT,Watsessing Avenue (Bloomfield),40.782743,-74.198451,MNBTN
WM,Wesmont,40.854979,-74.096951,BERG
WF,Westfield,40.649448,-74.347629,RARV
WW,Westwood,40.990817,-74.032696,PASC
WH,White House,40.615613,-74.77066,RARV
WI,Wilmington,39.7372,-75.5513,
WR,Wood-Ridge,40.843974,-74.078719,PASC
WB,Woodbridge,40.55661,-74.277754,NJCL
WL,Woodcliff Lake,41.021078,-74.040775,PASC
