name,agency,code,routes,toward
Astoria-Ditmars Blvd,mta,R01,N|W,
Astoria Blvd,mta,R03,N|W,
30 Av,mta,R04,N|W,
Broadway,mta,R05,N|W,
36 Av,mta,R06,N|W,
39 Av-Dutch Kills,mta,R08,N|W,
Lexington Av/59 St,mta,R11,N|R|W,
5 Av/59 St,mta,R13,N|R|W,
57 St-7 Av,mta,R14,N|Q|R|W,
49 St,mta,R15,N|R|W,
Times Sq-42 St,mta,R16,N|Q|R|W,
34 St-Herald Sq,mta,R17,N|Q|R|W,
28 St,mta,R18,R|W,
23 St,mta,R19,R|W,
14 St-Union Sq,mta,R20,N|Q|R|W,
8 St-NYU,mta,R21,R|W,
Prince St,mta,R22,R|W,
Canal St,mta,R23,R|W,
Canal St,mta,Q01,N|Q,
City Hall,mta,R24,R|W,
Cortlandt St,mta,R25,R|W,
Rector St,mta,R26,R|W,
Whitehall St-South Ferry,mta,R27,R|W,
Court St,mta,R28,R,
Jay St-MetroTech,mta,R29,R,
DeKalb Av,mta,R30,B|Q|R,
Atlantic Av-Barclays Ctr,mta,R31,D|N|R,
Union St,mta,R32,R,
4 Av-9 St,mta,R33,R,
Prospect Av,mta,R34,R,
25 St,mta,R35,R,
36 St,mta,R36,D|N|R,
45 St,mta,R39,R,
53 St,mta,R40,R,
59 St,mta,R41,N|R,
Bay Ridge Av,mta,R42,R,
77 St,mta,R43,R,
86 St,mta,R44,R,
Bay Ridge-95 St,mta,R45,R,
Atlantic Av-Barclays Ctr,mta,D24,B|Q,
7 Av,mta,D25,B|Q,
Prospect Park,mta,D26,B|Q|S,
Parkside Av,mta,D27,Q,
Church Av,mta,D28,B|Q,
Beverley Rd,mta,D29,Q,
Cortelyou Rd,mta,D30,Q,
Newkirk Plaza,mta,D31,B|Q,
Avenue H,mta,D32,Q,
Avenue J,mta,D33,Q,
Avenue M,mta,D34,Q,
Kings Hwy,mta,D35,B|Q,
Avenue U,mta,D37,Q,
Neck Rd,mta,D38,Q,
Sheepshead Bay,mta,D39,B|Q,
Brighton Beach,mta,D40,B|Q,
Ocean Pkwy,mta,D41,Q,
W 8 St-NY Aquarium,mta,D42,F|Q,
Coney Island-Stillwell Av,mta,D43,D|F|N|Q,
9 Av,mta,B12,D,
Fort Hamilton Pkwy,mta,B13,D,
50 St,mta,B14,D,
55 St,mta,B15,D,
62 St,mta,B16,D,
71 St,mta,B17,D,
79 St,mta,B18,D,
18 Av,mta,B19,D,
20 Av,mta,B20,D,
Bay Pkwy,mta,B21,D,
25 Av,mta,B22,D,
Bay 50 St,mta,B23,D,
8 Av,mta,N02,N,
Fort Hamilton Pkwy,mta,N03,N,
New Utrecht Av,mta,N04,N,
18 Av,mta,N05,N,
20 Av,mta,N06,N,
Bay Pkwy,mta,N07,N,
Kings Hwy,mta,N08,N,
Avenue U,mta,N09,N,
86 St,mta,N10,N,
121 St,mta,J12,J|Z,
111 St,mta,J13,J,
104 St,mta,J14,J|Z,
Woodhaven Blvd,mta,J15,J|Z,
85 St-Forest Pkwy,mta,J16,J,
75 St-Elderts Ln,mta,J17,J|Z,
Cypress Hills,mta,J19,J,
Crescent St,mta,J20,J|Z,
Norwood Av,mta,J21,J|Z,
Cleveland St,mta,J22,J,
Van Siclen Av,mta,J23,J|Z,
Alabama Av,mta,J24,J|Z,
Broadway Junction,mta,J27,J|Z,
Chauncey St,mta,J28,J|Z,
Halsey St,mta,J29,J,
Gates Av,mta,J30,J|Z,
Kosciuszko St,mta,J31,J,
Myrtle Av,mta,M11,J|Z|M,
Flushing Av,mta,M12,J|M,
Lorimer St,mta,M13,J|M,
Hewes St,mta,M14,J|M,
Marcy Av,mta,M16,J|Z|M,
Delancey St-Essex St,mta,M18,J|Z|M,
Bowery,mta,M19,J|Z,
Canal St,mta,M20,J|Z,
Chambers St,mta,M21,J|Z,
Fulton St,mta,M22,J|Z,
Broad St,mta,M23,J|Z,
Middle Village-Metropolitan Av,mta,M01,M,
Fresh Pond Rd,mta,M04,M,
Forest Av,mta,M05,M,
Seneca Av,mta,M06,M,
Myrtle-Wyckoff Avs,mta,M08,M,
Knickerbocker Av,mta,M09,M,
Central Av,mta,M10,M,
8 Av,mta,L01,L,
6 Av,mta,L02,L,
14 St-Union Sq,mta,L03,L,
3 Av,mta,L05,L,
1 Av,mta,L06,L,
Bedford Av,mta,L08,L,
Lorimer St,mta,L10,L,
Graham Av,mta,L11,L,
Grand St,mta,L12,L,
Montrose Av,mta,L13,L,
Morgan Av,mta,L14,L,
Jefferson St,mta,L15,L,
DeKalb Av,mta,L16,L,
Myrtle-Wyckoff Avs,mta,L17,L,
Halsey St,mta,L19,L,
Wilson Av,mta,L20,L,
Bushwick Av-Aberdeen St,mta,L21,L,
Broadway Junction,mta,L22,L,
Atlantic Av,mta,L24,L,
Sutter Av,mta,L25,L,
Livonia Av,mta,L26,L,
New Lots Av,mta,L27,L,
East 105 St,mta,L28,L,
Canarsie-Rockaway Pkwy,mta,L29,L,
Franklin Av,mta,S01,S,
Park Pl,mta,S03,S,
Botanic Garden,mta,S04,S,
Inwood-207 St,mta,A02,A,
Dyckman St,mta,A03,A,
190 St,mta,A05,A,
181 St,mta,A06,A,
175 St,mta,A07,A,
168 St,mta,A09,A|C,
163 St-Amsterdam Av,mta,A10,C,
155 St,mta,A11,C,
145 St,mta,A12,A|C,
145 St,mta,D13,B|D,
135 St,mta,A14,B|C,
125 St,mta,A15,A|C|B|D,
116 St,mta,A16,B|C,
Cathedral Pkwy (110 St),mta,A17,B|C,
103 St,mta,A18,B|C,
96 St,mta,A19,B|C,
86 St,mta,A20,B|C,
81 St-Museum of Natural History,mta,A21,B|C,
72 St,mta,A22,B|C,
59 St-Columbus Circle,mta,A24,A|C|B|D,
50 St,mta,A25,C|E,
42 St-Port Authority Bus Terminal,mta,A27,A|C|E,
34 St-Penn Station,mta,A28,A|C|E,
23 St,mta,A30,C|E,
14 St,mta,A31,A|C|E,
W 4 St-Wash Sq,mta,A32,A|C|E,
W 4 St-Wash Sq,mta,D20,B|D|F|M,
Spring St,mta,A33,C|E,
Canal St,mta,A34,A|C|E,
Chambers St,mta,A36,A|C,
World Trade Center,mta,E01,E,
Fulton St,mta,A38,A|C,
High St,mta,A40,A|C,
Jay St-MetroTech,mta,A41,A|C|F,
Hoyt-Schermerhorn Sts,mta,A42,A|C|G,
Lafayette Av,mta,A43,C,
Clinton-Washington Avs,mta,A44,C,
Franklin Av,mta,A45,C,
Nostrand Av,mta,A46,A|C,
Kingston-Throop Avs,mta,A47,C,
Utica Av,mta,A48,A|C,
Ralph Av,mta,A49,C,
Rockaway Av,mta,A50,C,
Broadway Junction,mta,A51,A|C,
Liberty Av,mta,A52,C,
Van Siclen Av,mta,A53,C,
Shepherd Av,mta,A54,C,
Euclid Av,mta,A55,A|C,
Grant Av,mta,A57,A,
80 St,mta,A59,A,
88 St,mta,A60,A,
Rockaway Blvd,mta,A61,A,
104 St,mta,A63,A,
111 St,mta,A64,A,
Ozone Park-Lefferts Blvd,mta,A65,A,
Aqueduct Racetrack,mta,H01,A,
Aqueduct-N Conduit Av,mta,H02,A,
Howard Beach-JFK Airport,mta,H03,A,
Broad Channel,mta,H04,A|S,
Beach 90 St,mta,H12,A|S,
Beach 98 St,mta,H13,A|S,
Beach 105 St,mta,H14,A|S,
Rockaway Park-Beach 116 St,mta,H15,A|S,
Beach 67 St,mta,H06,A,
Beach 60 St,mta,H07,A,
Beach 44 St,mta,H08,A,
Beach 36 St,mta,H09,A,
Beach 25 St,mta,H10,A,
Far Rockaway-Mott Av,mta,H11,A,
Norwood-205 St,mta,D01,D,
Bedford Park Blvd,mta,D03,B|D,
Kingsbridge Rd,mta,D04,B|D,
Fordham Rd,mta,D05,B|D,
182-183 Sts,mta,D06,B|D,
Tremont Av,mta,D07,B|D,
174-175 Sts,mta,D08,B|D,
170 St,mta,D09,B|D,
167 St,mta,D10,B|D,
161 St-Yankee Stadium,mta,D11,B|D,
155 St,mta,D12,B|D,
21 St-Queensbridge,mta,B04,M,
Roosevelt Island,mta,B06,M,
Lexington Av/63 St,mta,B08,M|Q,
57 St,mta,B10,M,
47-50 Sts-Rockefeller Ctr,mta,D15,B|D|F|M,
42 St-Bryant Pk,mta,D16,B|D|F|M,
34 St-Herald Sq,mta,D17,B|D|F|M,
23 St,mta,D18,F|M,
14 St,mta,D19,F|M,
Broadway-Lafayette St,mta,D21,B|D|F|M,
Grand St,mta,D22,B|D,
2 Av,mta,F14,F,
Delancey St-Essex St,mta,F15,F,
East Broadway,mta,F16,F,
York St,mta,F18,F,
Bergen St,mta,F20,F|G,
Carroll St,mta,F21,F|G,
Smith-9 Sts,mta,F22,F|G,
4 Av-9 St,mta,F23,F|G,
7 Av,mta,F24,F|G,
15 St-Prospect Park,mta,F25,F|G,
Fort Hamilton Pkwy,mta,F26,F|G,
Church Av,mta,F27,F|G,
Ditmas Av,mta,F29,F,
18 Av,mta,F30,F,
Avenue I,mta,F31,F,
Bay Pkwy,mta,F32,F,
Avenue N,mta,F33,F,
Avenue P,mta,F34,F,
Kings Hwy,mta,F35,F,
Avenue U,mta,F36,F,
Avenue X,mta,F38,F,
Neptune Av,mta,F39,F,
Jamaica-179 St,mta,F01,F,
169 St,mta,F02,F,
Parsons Blvd,mta,F03,F,
Sutphin Blvd,mta,F04,F,
Briarwood,mta,F05,E|F,
Kew Gardens-Union Tpke,mta,F06,E|F,
75 Av,mta,F07,E|F,
Forest Hills-71 Av,mta,G08,E|F|M|R,
67 Av,mta,G09,M|R,
63 Dr-Rego Park,mta,G10,M|R,
Woodhaven Blvd,mta,G11,M|R,
Grand Av-Newtown,mta,G12,M|R,
Elmhurst Av,mta,G13,M|R,
Jackson Hts-Roosevelt Av,mta,G14,E|F|M|R,
65 St,mta,G15,M|R,
Northern Blvd,mta,G16,M|R,
46 St,mta,G18,M|R,
Steinway St,mta,G19,M|R,
36 St,mta,G20,M|R,
Queens Plaza,mta,G21,E|F|R,
Court Sq-23 St,mta,F09,E|F,
Lexington Av/53 St,mta,F11,E|F,
5 Av/53 St,mta,F12,E|F,
7 Av,mta,D14,B|D|E,
Jamaica Center-Parsons/Archer,mta,G05,E|J|Z,
Sutphin Blvd-Archer Av-JFK Airport,mta,G06,E|J|Z,
Jamaica-Van Wyck,mta,G07,E,
Court Sq,mta,G22,G,
21 St,mta,G24,G,
Greenpoint Av,mta,G26,G,
Nassau Av,mta,G28,G,
Metropolitan Av,mta,G29,G,
Broadway,mta,G30,G,
Flushing Av,mta,G31,G,
Myrtle-Willoughby Avs,mta,G32,G,
Bedford-Nostrand Avs,mta,G33,G,
Classon Av,mta,G34,G,
Clinton-Washington Avs,mta,G35,G,
Fulton St,mta,G36,G,
Van Cortlandt Park-242 St,mta,101,1,
238 St,mta,103,1,
231 St,mta,104,1,
Marble Hill-225 St,mta,106,1,
215 St,mta,107,1,
207 St,mta,108,1,
Dyckman St,mta,109,1,
191 St,mta,110,1,
181 St,mta,111,1,
168 St-Washington Hts,mta,112,1,
157 St,mta,113,1,
145 St,mta,114,1,
137 St-City College,mta,115,1,
125 St,mta,116,1,
116 St-Columbia University,mta,117,1,
Cathedral Pkwy (110 St),mta,118,1,
103 St,mta,119,1,
96 St,mta,120,1|2|3,
86 St,mta,121,1,
79 St,mta,122,1,
72 St,mta,123,1|2|3,
66 St-Lincoln Center,mta,124,1,
59 St-Columbus Circle,mta,125,1,
50 St,mta,126,1,
Times Sq-42 St,mta,127,1|2|3,
34 St-Penn Station,mta,128,1|2|3,
28 St,mta,129,1,
23 St,mta,130,1,
18 St,mta,131,1,
14 St,mta,132,1|2|3,
Christopher St-Stonewall,mta,133,1,
Houston St,mta,134,1,
Canal St,mta,135,1,
Franklin St,mta,136,1,
Chambers St,mta,137,1|2|3,
WTC Cortlandt,mta,138,1,
Rector St,mta,139,1,
South Ferry,mta,142,1,
Park Place,mta,228,2|3,
Fulton St,mta,229,2|3,
Wall St,mta,230,2|3,
Clark St,mta,231,2|3,
Borough Hall,mta,232,2|3,
Hoyt St,mta,233,2|3,
Nevins St,mta,234,2|3|4|5,
Atlantic Av-Barclays Ctr,mta,235,2|3|4|5,
Bergen St,mta,236,2|3,
Grand Army Plaza,mta,237,2|3,
Eastern Pkwy-Brooklyn Museum,mta,238,2|3,
Franklin Av-Medgar Evers College,mta,239,2|3|4|5,
Nostrand Av,mta,248,3,
Kingston Av,mta,249,3,
Crown Hts-Utica Av,mta,250,3|4,
Sutter Av-Rutland Rd,mta,251,3,
Saratoga Av,mta,252,3,
Rockaway Av,mta,253,3,
Junius St,mta,254,3,
Pennsylvania Av,mta,255,3,
Van Siclen Av,mta,256,3,
New Lots Av,mta,257,3,
President St-Medgar Evers College,mta,241,2|5,
Sterling St,mta,242,2|5,
Winthrop St,mta,243,2|5,
Church Av,mta,244,2|5,
Beverly Rd,mta,245,2|5,
Newkirk Av-Little Haiti,mta,246,2|5,
Flatbush Av-Brooklyn College,mta,247,2|5,
Pelham Bay Park,mta,601,6,
Buhre Av,mta,602,6,
Middletown Rd,mta,603,6,
Westchester Sq-E Tremont Av,mta,604,6,
Zerega Av,mta,606,6,
Castle Hill Av,mta,607,6,
Parkchester,mta,608,6,
St Lawrence Av,mta,609,6,
Morrison Av-Soundview,mta,610,6,
Elder Av,mta,611,6,
Whitlock Av,mta,612,6,
Hunts Point Av,mta,613,6,
Longwood Av,mta,614,6,
E 149 St,mta,615,6,
E 143 St-St Mary's St,mta,616,6,
Cypress Av,mta,617,6,
Brook Av,mta,618,6,
3 Av-138 St,mta,619,6,
Woodlawn,mta,401,4,
Mosholu Pkwy,mta,402,4,
Bedford Park Blvd-Lehman College,mta,405,4,
Kingsbridge Rd,mta,406,4,
Fordham Rd,mta,407,4,
183 St,mta,408,4,
Burnside Av,mta,409,4,
176 St,mta,410,4,
Mt Eden Av,mta,411,4,
170 St,mta,412,4,
167 St,mta,413,4,
161 St-Yankee Stadium,mta,414,4,
149 St-Grand Concourse,mta,415,4,
138 St-Grand Concourse,mta,416,4|5,
125 St,mta,621,4|5|6,
116 St,mta,622,6,
110 St,mta,623,6,
103 St,mta,624,6,
96 St,mta,625,6,
86 St,mta,626,4|5|6,
77 St,mta,627,6,
68 St-Hunter College,mta,628,6,
59 St,mta,629,4|5|6,
51 St,mta,630,6,
Grand Central-42 St,mta,631,4|5|6,
33 St,mta,632,6,
28 St,mta,633,6,
23 St,mta,634,6,
14 St-Union Sq,mta,635,4|5|6,
Astor Pl,mta,636,6,
Bleecker St,mta,637,6,
Spring St,mta,638,6,
Canal St,mta,639,6,
Brooklyn Bridge-City Hall,mta,640,4|5|6,
Fulton St,mta,418,4|5,
Wall St,mta,419,4|5,
Bowling Green,mta,420,4|5,
Borough Hall,mta,423,4|5,
Wakefield-241 St,mta,201,2,
Nereid Av,mta,204,2|5,
233 St,mta,205,2|5,
225 St,mta,206,2|5,
219 St,mta,207,2|5,
Gun Hill Rd,mta,208,2|5,
Burke Av,mta,209,2|5,
Allerton Av,mta,210,2|5,
Pelham Pkwy,mta,211,2|5,
Bronx Park East,mta,212,2|5,
E 180 St,mta,213,2|5,
West Farms Sq-E Tremont Av,mta,214,2|5,
174 St,mta,215,2|5,
Freeman St,mta,216,2|5,
Simpson St,mta,217,2|5,
Intervale Av,mta,218,2|5,
Prospect Av,mta,219,2|5,
Jackson Av,mta,220,2|5,
3 Av-149 St,mta,221,2|5,
149 St-Grand Concourse,mta,222,2|5,
Harlem-148 St,mta,301,3,
145 St,mta,302,3,
135 St,mta,224,2|3,
125 St,mta,225,2|3,
116 St,mta,226,2|3,
110 St-Malcolm X Plaza,mta,227,2|3,
Eastchester-Dyre Av,mta,501,5,
Baychester Av,mta,502,5,
Gun Hill Rd,mta,503,5,
Pelham Pkwy,mta,504,5,
Morris Park,mta,505,5,
Flushing-Main St,mta,701,7,
Mets-Willets Point,mta,702,7,
111 St,mta,705,7,
103 St-Corona Plaza,mta,706,7,
Junction Blvd,mta,707,7,
90 St-Elmhurst Av,mta,708,7,
82 St-Jackson Hts,mta,709,7,
74 St-Broadway,mta,710,7,
69 St,mta,711,7,
61 St-Woodside,mta,712,7,
52 St,mta,713,7,
46 St-Bliss St,mta,714,7,
40 St-Lowery St,mta,715,7,
33 St-Rawson St,mta,716,7,
Queensboro Plaza,mta,R09,N|W,
Queensboro Plaza,mta,718,7,
Court Sq,mta,719,7,
Hunters Point Av,mta,720,7,
Vernon Blvd-Jackson Av,mta,721,7,
Grand Central-42 St,mta,723,7,
5 Av,mta,724,7,
Times Sq-42 St,mta,725,7,
Times Sq-42 St,mta,902,S,
Grand Central-42 St,mta,901,S,
34 St-Hudson Yards,mta,726,7,
96 St,mta,Q05,Q,
86 St,mta,Q04,Q,
72 St,mta,Q03,Q,
St George,mta,S31,SIR,
Tompkinsville,mta,S30,SIR,
Stapleton,mta,S29,SIR,
Clifton,mta,S28,SIR,
Grasmere,mta,S27,SIR,
Old Town,mta,S26,SIR,
Dongan Hills,mta,S25,SIR,
Jefferson Av,mta,S24,SIR,
Grant City,mta,S23,SIR,
New Dorp,mta,S22,SIR,
Oakwood Heights,mta,S21,SIR,
Bay Terrace,mta,S20,SIR,
Great Kills,mta,S19,SIR,
Eltingville,mta,S18,SIR,
Annadale,mta,S17,SIR,
Huguenot,mta,S16,SIR,
Prince's Bay,mta,S15,SIR,
Pleasant Plains,mta,S14,SIR,
Richmond Valley,mta,S13,SIR,
Tottenville,mta,S09,SIR,
Arthur Kill,mta,S11,SIR,
Newark,path,NWK,ToNY|ToNJ,
Harrison,path,HAR,ToNY|ToNJ,
Journal Square,path,JSQ,ToNY|ToNJ,
Grove Street,path,GRV,ToNY|ToNJ,
Exchange Place,path,EXP,ToNY|ToNJ,
Hoboken,path,HOB,ToNY|ToNJ,
Newport,path,NEW,ToNY|ToNJ,
World Trade Center,path,WTC,ToNY|ToNJ,
Christopher St,path,CHR,ToNY|ToNJ,
9 St,path,09S,ToNY|ToNJ,
14 St,path,14S,ToNY|ToNJ,
23 St,path,23S,ToNY|ToNJ,
33 St,path,33S,ToNY|ToNJ,
Aberdeen-Matawan,njt_rail,AM,,
Absecon,njt_rail,AB,,
Allendale,njt_rail,AZ,,
Allenhurst,njt_rail,AH,,
Anderson Street,njt_rail,AS,,
Annandale,njt_rail,AN,,
Asbury Park,njt_rail,AP,,
Atco,njt_rail,AO,,
Atlantic City Terminal,njt_rail,AC,,
Avenel,njt_rail,AV,,
B.W.I. Airport,njt_rail,BA,,
Baltimore,njt_rail,BL,,
Basking Ridge,njt_rail,BI,,
Bay Head,njt_rail,BH,,
Bay Street (Montclair),njt_rail,MC,,
Belmar,njt_rail,BS,,
Berkeley Heights,njt_rail,BY,,
Bernardsville,njt_rail,BV,,
Bloomfield,njt_rail,BM,,
Boonton,njt_rail,BN,,
Bound Brook,njt_rail,BK,,
Bradley Beach,njt_rail,BB,,
Brick Church,njt_rail,BU,,
Bridgewater,njt_rail,BW,,
Broadway,njt_rail,BF,,
Campbell Hall,njt_rail,CB,,
Chatham,njt_rail,CM,,
Cherry Hill,njt_rail,CY,,
Clifton,njt_rail,IF,,
Convent,njt_rail,CN,,
Cranford,njt_rail,XC,,
Delawanna,njt_rail,DL,,
Denville,njt_rail,DV,,
Dover,njt_rail,DO,,
Dunellen,njt_rail,DN,,
East Orange,njt_rail,EO,,
Edison,njt_rail,ED,,
Egg Harbor City,njt_rail,EH,,
Elberon,njt_rail,EL,,
Elizabeth,njt_rail,EZ,,
Emerson,njt_rail,EN,,
Essex Street,njt_rail,EX,,
Fanwood,njt_rail,FW,,
Far Hills,njt_rail,FH,,
Garfield,njt_rail,GD,,
Garwood,njt_rail,GW,,
Gillette,njt_rail,GI,,
Gladstone,njt_rail,GL,,
Glen Ridge,njt_rail,GG,,
Glen Rock (Boro Hall),njt_rail,GK,,
Glen Rock (Main Line),njt_rail,RS,,
Hackettstown,njt_rail,HQ,,
Hamilton,njt_rail,HL,,
Hammonton,njt_rail,HN,,
Harriman Station,njt_rail,RM,,
Hawthorne,njt_rail,HW,,
Hazlet,njt_rail,HZ,,
High Bridge,njt_rail,HG,,
Highland Ave.,njt_rail,HI,,
Hillsdale,njt_rail,HD,,
Ho-Ho-Kus,njt_rail,UF,,
Hoboken,njt_rail,HB,,
Jersey Avenue,njt_rail,JA,,
Lake Hopatcong,njt_rail,HP,,
Lebanon,njt_rail,ON,,
Lincoln Park,njt_rail,LP,,
Linden,njt_rail,LI,,
Lindenwold,njt_rail,LW,,
Little Falls,njt_rail,FA,,
Little Silver,njt_rail,LS,,
Long Branch,njt_rail,LB,,
Lyndhurst,njt_rail,LN,,
Lyons,njt_rail,LY,,
Madison,njt_rail,MA,,
Mahwah,njt_rail,MZ,,
Manasquan,njt_rail,SQ,,
Maplewood,njt_rail,MW,,
Meadowlands,njt_rail,XU,,
Metropark,njt_rail,MP,,
Metuchen,njt_rail,MU,,
Middletown,njt_rail,MI,,
"Middletown, NY",njt_rail,MD,,
Millburn,njt_rail,MB,,
Millington,njt_rail,GO,,
Monmouth Park,njt_rail,MK,,
Montclair Heights,njt_rail,HS,,
Montclair State University,njt_rail,UV,,
Montvale,njt_rail,ZM,,
Morris Plains,njt_rail,MX,,
Morristown,njt_rail,MR,,
Mount Arlington,njt_rail,HV,,
Mount Olive,njt_rail,OL,,
Mount Tabor,njt_rail,TB,,
Mountain Ave.,njt_rail,MS,,
Mountain Lakes,njt_rail,ML,,
Mountain Sta.,njt_rail,MT,,
Mountain View,njt_rail,MV,,
Murray Hill,njt_rail,MH,,
Nanuet,njt_rail,NN,,
Netcong,njt_rail,NT,,
Netherwood,njt_rail,NE,,
New Bridge Landing,njt_rail,NH,,
New Brunswick,njt_rail,NB,,
New Carrollton,njt_rail,NC,,
New Providence,njt_rail,NV,,
Newark Broad St.,njt_rail,ND,,
Newark Int'l Airport,njt_rail,NA,,
Newark Penn Station,njt_rail,NP,,
North Branch,njt_rail,OR,,
North Elizabeth,njt_rail,NZ,,
North Philadelphia,njt_rail,NF,,
Oradell,njt_rail,OD,,
Orange,njt_rail,OG,,
Otisville,njt_rail,OS,,
Park Ridge,njt_rail,PV,,
Passaic,njt_rail,PS,,
Paterson,njt_rail,RN,,
Peapack,njt_rail,PC,,
Pearl River,njt_rail,PQ,,
Penn Station New York,njt_rail,NY,,
Pennsauken,njt_rail,PN,,
Perth Amboy,njt_rail,PE,,
Philadelphia 30th St.,njt_rail,PH,,
Plainfield,njt_rail,PF,,
Plauderville,njt_rail,PL,,
Point Pleasant,njt_rail,PP,,
Port Jervis,njt_rail,PO,,
Princeton Junction,njt_rail,PJ,,
Princeton Station,njt_rail,PR,,
Radburn,njt_rail,FZ,,
Rahway,njt_rail,RH,,
Ramsey,njt_rail,RY,,
Raritan,njt_rail,RA,,
Red Bank,njt_rail,RB,,
Ridgewood,njt_rail,RW,,
River Edge,njt_rail,RG,,
Roselle Park,njt_rail,RL,,
Route 17 Station,njt_rail,17,,
Route 23,njt_rail,23,,
Rutherford,njt_rail,RF,,
Salisbury Mills,njt_rail,CW,,
Secaucus Junction,njt_rail,TS,,
Secaucus Station,njt_rail,SE,,
Short Hills,njt_rail,RT,,
Sloatsburg,njt_rail,XG,,
Somerville,njt_rail,SM,,
South Amboy,njt_rail,CH,,
South Orange,njt_rail,SO,,
Spring Lake,njt_rail,LA,,
Spring Valley,njt_rail,SV,,
Stirling,njt_rail,SG,,
Suffern,njt_rail,SF,,
Summit,njt_rail,ST,,
Teterboro,njt_rail,TE,,
Towaco,njt_rail,TO,,
Trenton Station,njt_rail,TR,,
Tuxedo,njt_rail,TC,,
Union Station,njt_rail,US,,
Upper Montclair,njt_rail,UM,,
Waldwick,njt_rail,WK,,
Walnut Street (Montclair),njt_rail,WA,,
Washington,njt_rail,WS,,
Watchung Avenue,njt_rail,WG,,
Watsessing Avenue (Bloomfield),njt_rail,WT,,
Wesmont,njt_rail,WM,,
Westfield,njt_rail,WF,,
Westwood,njt_rail,WW,,
White House,njt_rail,WH,,
Wilmington,njt_rail,WI,,
Wood-Ridge,njt_rail,WR,,
Woodbridge,njt_rail,WB,,
Woodcliff Lake,njt_rail,WL,,
COMMUNIPAW JUNCTION,njt_bus,44,,
GOTHAM PKWY AT VETERANS BLVD,njt_bus,888,,
GOTHAM PKWY AT JONY DR,njt_bus,889,,
GOTHAM PKWY AT AMOR AVE,njt_bus,890,,
GOTHAM PKWY AT UNIVERSAL PL,njt_bus,891,,
GOTHAM PKWY AT UNIVERSAL PL,njt_bus,892,,
GOTHAM PKWY AT AMOR AVE,njt_bus,893,,
GOTHAM PKWY AT JONY DR,njt_bus,894,,
GOTHAM PKWY AT VETERANS BLVD,njt_bus,895,,
HACKENSACK ST AT DIVISION AVE,njt_bus,896,,Newark
HACKENSACK ST AT BERRY AVE,njt_bus,897,,Newark
HACKENSACK ST AT SUMMIT AVE,njt_bus,898,,Newark
HACKENSACK ST AT SUMMIT AVE,njt_bus,899,,Hackensack
HACKENSACK ST AT DIVISION AVE,njt_bus,900,,Hackensack
MONROE ST AT BROAD ST,njt_bus,901,,Ridgewood
MONROE ST AT DIVISION AVE,njt_bus,902,,Ridgewood
MONROE ST AT SUMMIT AVE,njt_bus,903,,Ridgewood
MONROE ST AT SUMMIT AVE,njt_bus,904,,New York
MONROE ST AT DIVISION AVE,njt_bus,905,,New York
MONROE ST AT BROAD ST,njt_bus,906,,New York
MOONACHIE RD AT EASTERN WAY,njt_bus,907,,
PATERSON PLANK RD AT GOTHAM PARKWAY,njt_bus,908,,Ridgewood
RT-120 65'N OF GOTHAM PKWY,njt_bus,909,,Ridgewood
RT-120 1052' N OF GOTHAM PKWY.,njt_bus,910,,Ridgewood
PATERSON PLANK RD AT MURRAY HILL PKWY,njt_bus,911,,Ridgewood
WASHINGTON AVE AT BARELL AVE,njt_bus,912,,
WASHINGTON AVE 117'S OF KERO RD,njt_bus,913,,
WASHINGTON AVE 200'N OF COMMERCE RD,njt_bus,914,,
WASHINGTON AVE AT EMPIRE BLVD,njt_bus,915,,
MOONACHIE RD AT MOONACHIE AVE,njt_bus,916,,
WASHINGTON AVE AT COMMERCE RD,njt_bus,917,,
WASHINGTON AVE 198'S OF KERO RD,njt_bus,918,,
WASHINGTON AVE AT VETERANS BLVD,njt_bus,919,,
BERRY CREEK RD AT ENTRANCE STABLE GATES,njt_bus,1027,,
BERRY CREEK RD 330' S OF ENTRANCE STABLE GATE,njt_bus,1028,,
HACKENSACK ST AT HOBOKEN RD,njt_bus,1029,,Hackensack
PATERSON AVE AT GRANT ST,njt_bus,1030,,
PATERSON AVE AT WALL ST,njt_bus,1031,,
PATERSON AVE AT FRANKLIN PL,njt_bus,1032,,
PATERSON AVE 300'W OF FRANKLIN PL,njt_bus,1033,,
PATERSON AVE AT ATKINS TERRACE,njt_bus,1034,,
PATERSON AVE AT MORRISSEE AVE,njt_bus,1035,,
PATERSON AVE AT POPLAR ST,njt_bus,1036,,
PATERSON AVE AT MOZART ST,njt_bus,1037,,New York
PATERSON AVE AT UHLAND ST,njt_bus,1038,,New York
PATERSON AVE AT GROVE ST,njt_bus,1039,,New York
PATERSON AVE AT HACKENSACK ST,njt_bus,1040,,New York
PATERSON AVE AT VREELAND AVE,njt_bus,1041,,New York
PATERSON AVE AT JANE ST,njt_bus,1042,,Ridgewood
PATERSON AVE AT HACKENSACK ST,njt_bus,1043,,Ridgewood
PATERSON AVE AT LINCOLN PL,njt_bus,1044,,Ridgewood
PATERSON AVE AT WASHINGTON PL,njt_bus,1045,,Ridgewood
PATERSON PLANK RD AT MURRAY HILL PKWY,njt_bus,1046,,New York
RT-120 1052' N OF GOTHAM PARKWAY,njt_bus,1047,,New York
RT-120 AT GOTHAM PARKWAY,njt_bus,1048,,New York
